percent,network,source,attribute,meanROC
100,ppi,butland,deg,10.0
100,ppi,butland,bet,10.0
100,ppi,butland,complete,10.0
100,ppi,babu,deg,10.0
100,ppi,babu,bet,10.0
100,ppi,babu,complete,10.0
100,reg,butland,deg,10.0
100,reg,butland,bet,10.0
100,reg,butland,complete,10.0
100,reg,babu,deg,10.0
100,reg,babu,bet,10.0
100,reg,babu,complete,10.0
100,met,butland,deg,10.0
100,met,butland,bet,10.0
100,met,butland,complete,10.0
100,met,babu,deg,10.0
100,met,babu,bet,10.0
100,met,babu,complete,10.0
100,int,butland,deg,10.0
100,int,butland,bet,10.0
100,int,butland,complete,10.0
100,int,babu,deg,10.0
100,int,babu,bet,10.0
100,int,babu,complete,10.0
95,ppi,butland,deg,10.0
95,ppi,butland,bet,10.0
95,ppi,butland,complete,10.0
95,ppi,babu,deg,10.0
95,ppi,babu,bet,10.0
95,ppi,babu,complete,10.0
95,reg,butland,deg,10.0
95,reg,butland,bet,10.0
95,reg,butland,complete,10.0
95,reg,babu,deg,10.0
95,reg,babu,bet,10.0
95,reg,babu,complete,10.0
95,met,butland,deg,10.0
95,met,butland,bet,10.0
95,met,butland,complete,10.0
95,met,babu,deg,10.0
95,met,babu,bet,10.0
95,met,babu,complete,10.0
95,int,butland,deg,10.0
95,int,butland,bet,10.0
95,int,butland,complete,10.0
95,int,babu,deg,10.0
95,int,babu,bet,10.0
95,int,babu,complete,10.0
90,ppi,butland,deg,10.0
90,ppi,butland,bet,10.0
90,ppi,butland,complete,10.0
90,ppi,babu,deg,10.0
90,ppi,babu,bet,10.0
90,ppi,babu,complete,10.0
90,reg,butland,deg,10.0
90,reg,butland,bet,10.0
90,reg,butland,complete,10.0
90,reg,babu,deg,10.0
90,reg,babu,bet,10.0
90,reg,babu,complete,10.0
90,met,butland,deg,10.0
90,met,butland,bet,10.0
90,met,butland,complete,10.0
90,met,babu,deg,10.0
90,met,babu,bet,10.0
90,met,babu,complete,10.0
90,int,butland,deg,10.0
90,int,butland,bet,10.0
90,int,butland,complete,10.0
90,int,babu,deg,10.0
90,int,babu,bet,10.0
90,int,babu,complete,10.0
85,ppi,butland,deg,10.0
85,ppi,butland,bet,10.0
85,ppi,butland,complete,10.0
85,ppi,babu,deg,10.0
85,ppi,babu,bet,10.0
85,ppi,babu,complete,10.0
85,reg,butland,deg,10.0
85,reg,butland,bet,10.0
85,reg,butland,complete,10.0
85,reg,babu,deg,10.0
85,reg,babu,bet,10.0
85,reg,babu,complete,10.0
85,met,butland,deg,10.0
85,met,butland,bet,10.0
85,met,butland,complete,10.0
85,met,babu,deg,10.0
85,met,babu,bet,10.0
85,met,babu,complete,10.0
85,int,butland,deg,10.0
85,int,butland,bet,10.0
85,int,butland,complete,10.0
85,int,babu,deg,10.0
85,int,babu,bet,10.0
85,int,babu,complete,10.0
